Name	Description	Introduced	Deprecated
abs()	Absolute value		
acos()	Arc cosine		
all_match()	Returns true if all elements of the array match the given predicate		
any_match()	Returns true if the array contains one or more elements that match the given predicate		
any_value()	Return an arbitrary non-null input value		
any_value()	Return an arbitrary non-null input value		
approx_distinct()			
approx_most_frequent()			
approx_percentile()			
approx_set()			
arbitrary()	Return an arbitrary non-null input value		
array_agg()	return an array of values		
array_distinct()	Remove duplicate values from the given array		
array_except()	Returns an array of elements that are in the first array but not the second, without duplicates.		
array_histogram()	Return a map containing the counts of the elements in the array		
array_intersect()	Intersects elements of the two given arrays		
array_join()	Concatenates the elements of the given array using a delimiter and an optional string to replace nulls		
array_max()	Get maximum value of array		
array_min()	Get minimum value of array		
array_position()	Returns the position of the first occurrence of the given value in array (or 0 if not found)		
array_remove()	Remove specified values from the given array		
array_sort()	Sorts the given array in ascending order according to the natural ordering of its elements.		
array_union()	Union elements of the two given arrays		
arrays_overlap()	Returns true if arrays have common elements		
asin()	Arc sine		
at_timezone()			
atan()	Arc tangent		
atan2()	Arc tangent of given fraction		
avg()	Calculates the average value		
bar()			
beta_cdf()	Beta cdf given the a, b parameters and value		
bing_tile()	Creates a Bing tile from XY coordinates and zoom level		
bing_tile_at()	Given a (latitude, longitude) point, returns the containing Bing tile at the specified zoom level		
bing_tile_coordinates()	Given a Bing tile, returns XY coordinates of the tile		
bing_tile_polygon()	Given a Bing tile, returns the polygon representation of the tile		
bing_tile_quadkey()	Given a Bing tile, returns its QuadKey		
bing_tile_zoom_level()	Given a Bing tile, returns zoom level of the tile		
bing_tiles_around()	Given a (longitude, latitude) point, returns the surrounding Bing tiles at the specified zoom level		
bit_count()	Count number of set bits in 2's complement representation		
bitwise_and()	Bitwise AND in 2's complement arithmetic		
bitwise_and_agg()			
bitwise_left_shift()	bitwise left shift		
bitwise_not()	Bitwise NOT in 2's complement arithmetic		
bitwise_or()	Bitwise OR in 2's complement arithmetic		
bitwise_or_agg()			
bitwise_right_shift()	bitwise logical right shift		
bitwise_right_shift_arithmetic()	bitwise arithmetic right shift		
bitwise_xor()	Bitwise XOR in 2's complement arithmetic		
bool_and()			
bool_or()			
cardinality()	Returns the cardinality (length) of the array		
cbrt()	Cube root		
ceil()	Round up to nearest integer		
ceiling()	Round up to nearest integer		
char2hexint()	Returns the hexadecimal representation of the UTF-16BE encoding of the argument		
checksum()	Checksum of the given values		
chr()	Convert Unicode code point to a string		
classify()			
codepoint()	Returns Unicode code point of a single character string		
color()			
combinations()	Return n-element subsets from array		
concat()	Concatenates an element to an array		
concat_ws()	Concatenates elements using separator		
contains()	Determines whether given value exists in the array		
contains_sequence()	Determines whether an array contains a sequence, with the values in the exact order		
convex_hull_agg()	Returns a geometry that is the convex hull of all the geometries in the set.		
corr()			
cos()	Cosine		
cosh()	Hyperbolic cosine		
cosine_similarity()	Cosine similarity between the given sparse vectors		
count()	Counts the non-null values		
count_if()			
covar_pop()			
covar_samp()			
crc32()	Compute CRC-32		
cume_dist()			
current_date()	Current date		
current_groups()	Current groups of current user		
current_timezone()	Current time zone		
date()			
date_add()	Add the specified amount of date to the given date		
date_diff()	Difference of the given dates in the given unit		
date_format()	Formats the given timestamp by the given format		
date_parse()			
date_trunc()	Truncate to the specified precision in the session timezone		
day()	Day of the month of the given date		
day_of_month()	Day of the month of the given timestamp		
day_of_week()	Day of the week of the given date		
day_of_year()	Day of the year of the given timestamp		
degrees()	Converts an angle in radians to degrees		
dense_rank()			
dow()	Day of the week of the given date		
doy()	Day of the year of the given date		
